연번,제목,본문
14,[군 미필자 입영 연기] 채용시험 합격 후 부처배치 및 임용절차가 진행 중인데 징집통지서를 받았어요. 입영기일을 연기하려면 어떻게 해야 하나요?,공무원 채용시험 합격자가 징집 또는 소집통지서 수령 후 입영연기를 원할 경우에는 「병역법시행령」제129조제1항제8호에 따라통지서를 발부한 지방병무청에 입영기일 연기신청을 해야 합니다. 이 때 입영연기 가능기간은 최대 2년입니다. 기타 자세한 사항은 각 지방병무청 현역입영과(현역대상) 또는 사회복무과(보충역)로 문의하시기 바랍니다.
15,[임용 전 재직기관의 사직문제] 현재 직장에 다니고 있습니다. 공무원임용을 위해 현재의 직장에 언제 사표를 제출해야 하나요?,"부처에 추천된 후 곧바로 임용이 된다면 별다른 문제가 없겠으나, 경우에 따라서는 상당기간 대기하는 경우도 있습니다. 배치받은 부처에서 임용일을 통보받은 후 그 임용일 전일(임용전 교육훈련 시작 전일)까지 사표가 수리될 수 있도록 조치하시면 됩니다. 임용전 교육훈련 및 실무수습을 받는 경우 채용후보자는 성실히 교육(수습)에 임하여 할 의무가 있으므로수습기관장과 충분히 상의를 하신 후 시기를 결정하셔야 합니다.부처에 추천된 후 곧바로 임용이 된다면 별다른 문제가 없겠으나, 경우에 따라서는 상당기간 대기하는 경우도 있습니다. 배치받은 부처에서 임용일을 통보받은 후 그 임용일 전일(임용전 교육훈련 시작 전일)까지 사표가 수리될 수 있도록 조치하시면 됩니다. 임용전 교육훈련 및 실무수습을 받는 경우 채용후보자는 성실히 교육(수습)에 임하여 할 의무가 있으므로수습기관장과 충분히 상의를 하신 후 시기를 결정하셔야 합니다."
16,[신규자 교육훈련] 7급공채 합격자입니다. 임용받기 전에 신규자 교육이 있다던데 일정이 어떻게 됩니까?,각 부처별 공무원 신규임용 시기가 부정기적인 결원 발생에 따라 결정되기 때문에통상 7․9급 신규자 교육은 각 부처의 교육훈련계획에 따라 각기 다르게 시행되고 있습니다. 그러므로 신규자 교육에 대한 자세한 일정 등은 배치된 부처의 인사담당자에게 직접 문의하시기 바랍니다.
17,[교육수료 후 부처배정] 5급 공채시험 합격자는 국가공무원인재개발원의 신임관리자과정 수료 후 부처배치를 받게 되는데 개인희망에 따라 부처가 결정되는 것인가요?,"5급 공채 합격자의 부처배치는 각 부처에서 정한 부처별 인재선택기준(필기시험 성적, 교육성적, 업무적합성 등)에 따라해당부처 지원자를 평가하여 그 평가점수가 높은 순서대로 배치가 결정되며, 이러한 맞춤형 부처 배치를 통해 부처가 결정되지 않은 사람은 채용후보자 명부 등록번호순으로 부처가 결정됩니다. 따라서 평가결과에 따라 본인이 희망하는 부처에 배치되지 못할 수 있습니다."
18,[부처 배정] 7급 일반행정직을 합격해서 국민권익위에서 근무하고 싶습니다. 최종 합격자의 부처 배치는 어떻게 결정되는지요?,"인사혁신처는 2013년부터 부처 특성에 맞는 인재 수요를 충족하기 위해 「부처 맞춤형 충원시스템」을 통해 부처 배정을 하고 있습니다. 7급 공채시험의 일반행정직 최종 합격자는 인사혁신처가 안내하는 기간 내에 사전 공지한 ‘부처별 인재 선택기준’ 및 ‘부처별 배정인원’ 등을 참고하여부처희망원(최대 3지망까지 지원 가능), 자기소개서 및 기타 필요한 증빙서류를 제출해야 합니다. 본인이 희망하는 부처에서 자기소개서 등을 평가한 점수와 필기시험 점수(표준점수)을 합산하여그 점수가 높은 사람이 우선적으로 그 부처에 배치되는 방식입니다. 만약, 이러한 절차를 통해 희망했던 부처에 배정이 안 되신 분은 채용후보자 명부 등록번호 순으로 부처가 결정됩니다. 참고로 국가공무원채용시스템의 ‘시험안내-시험공고/공지사항’에 들어가시면 전년도 합격자의 부처배치 기준, 부처별 인재 선택기준 등이 게재되어 있으므로참조하시기 바랍니다. 물론 이러한 사항은 연도 단위로 달라질 수 있다는 점을 유의하시기 바랍니다."
19,"[군 장학생 출신 장교, 대학생 군사훈련과정을 이수한 단기복무장교] 제가 군 장학생 신분으로 졸업 후 7년간 장교로 복무해야 하는데, 군 입대 전에 7급을 합격하고 군 복무를 사유로 7년간 임용유예를 할 수 있는지요?","대학교 재학 중에 군에서 장학금을 받고 졸업 후 일정기간 장교 또는 부사관으로 복무하는 군 장학생의 복무기간은채용후보자 명부 유효기간(2년) 계산에 포함되므로 임용유예는 채용후보자 명부의 유효기간(2년) 범위 내에서만 가능합니다. 따라서 군 장학생 출신장교의 잔여 복무기간이 2년을 초과하는 경우에는 7급 시험 합격의 효력은 상실될 수 있습니다. 그러나, 대학생 군사훈련 과정을 이수한 단기 복무장교의 경우에는 「국가공무원법」제38조에 따라해당 의무 복무기간(3년)은 공무원 채용후보자 명부의 유효기간 계산에서 제외됩니다."
20,"[임용유예기간 중 휴학 가능여부] 학업을 이유로 임용유예를 허가 받았는데, 이 기간 중 개인적 사정으로 휴학을 할 수 있는지 궁금합니다.",임용유예는 정부 인력운영의 예외로 공무원임용령 제13조의2에서 정한 특정 사유에 해당하는 경우임용권자가 제한적으로 임용유예를 승인하고 있습니다. 임용유예 사유 중 ‘학업을 계속하는 경우’는 임용유예 신청 당시의 학업을 중단없이 계속하여 진행하는 것을 의미합니다. 따라서 임용유예 기간 중에 유예사유가 되었던 학업을 마치지 않고 휴학을 하는 것은 임용유예 사유의 소멸로 판단될 수 있음을 알려드립니다.
21,[직업군인의 임용유예 가능여부] 현재 부사관으로 군 복무 중입니다. 올해 7급을 합격하고 남은 복무기간 5년 동안 임용유예가 가능하나요?,"부사관 등의 직업군인이 「군인사법」에 의한 군 복무를 이유로 임용유예를 신청한 경우,임용권자가 관계법령(공무원임용령 제13조의2)과 기관 인력운영 상황 등을 고려하여 승인여부를 최종 결정합니다. 다만, 귀하의 경우는 임용권자로부터 채용후보자 명부의 유효기간(2년) 범위 내에서 임용유예를 승인받는다 하더라도여전히 잔여 군 복무기간이 있으므로 공무원임용령 제14조제1항에 의거 채용후보자 명부의 효력이 상실되어 공무원으로 임용될 수 없습니다."
22,[임용유예 기간] 7·9급공채 합격자로서 4년제 대학에서 2학년을 마친 상태에서 휴학 중입니다. 학교를 졸업하려면 2년을 더 다녀야 하는데 임용유예가 가능한지요? 1년을 더 연장하는 경우도 있다고 하던데요?,"7급 및 9급 채용후보자는 채용후보자 명부 유효기간인 2년의 범위 내에서 임용유예를 신청할 수 있습니다.따라서 채용후보자 등록 후 2년의 범위 내에서 학업을 마치고 임용에 응하시면 됩니다. 만약, 임용에 불응할 경우 채용후보자의 자격이 상실됩니다.채용후보자 명부의 유효기간을 필요에 따라 시험실시기관장이 1년 연장할 수 있지만, 개별 수험생의 신청에 따라 연장되는 것은 아닙니다."
23,"[최종합격 후 대학원 진학] 5급 공채시험에 최종 합격했는데, 개인발전을 위해 임용유예를 하고 대학원에 진학하려고 합니다. 가능한가요?",최종 합격 후 대학원 진학 등 새로이 학업을 시작하는 경우는 “학업의 계속” 사유에 해당된다고 볼 수 없으므로 임용유예 승인이 어렵습니다. 또한 현재 대학원 재학 중인 경우에 있어서도 임용유예가 허용되지 않습니다.
24,[야간대학 재학시 임용유예] 현재 야간대학(대학원)에 다니고 있습니다. 임용유예가 가능합니까?,임용유예는 최소한의 범위 내에서 허가되는 사항으로 야간 대학(대학원)의 수업은 근무와 병행이 가능함으로 임용유예가 허용되지 않습니다.
25,[신체검사서] 5개월 전에 채용신체검사를 받은 적이 있는데 그 결과를 제출해도 되는지요?,채용신체검사서의 유효기간은 1년입니다. 따라서 제출일로부터 1년 이내에 받은 신체검사서라면 제출하셔도 무방합니다.
26,[채용후보자 명부 등록순서] 시험성적순에 따라 채용후보자 명부에 등록되는 것으로 알고 있습니다. 이 때 시험성적은 가산점이 포함된 성적인가요? 또 국가유공자나 장애인이 우선적으로 임용되는 제도가 있습니까?,"채용후보자 명부의 등록번호는 필기시험(5급공채의 경우는 2차시험) 성적순에 의해 부여되고, 이 때의 성적은 가산점이 모두 포함된 성적입니다. 각 부처에서 임용을 할 때에는 채용후보자 명부 등록번호 순위, 임용예정지역 및 개인의 희망 등의 여러 가지 요소를 고려하여임용 및 인사발령을 하지만, 가장 우선되는 기준은 역시 채용후보자 등록번호 순위입니다. 공무원임용령 등 인사관계법령에 국가유공자나 장애인을 우선적으로 임용해야 한다는 규정은 없습니다."
27,[임용유예 미승인] 법령에 나열되어 있는 임용유예 사유에 해당한다면 무조건 임용유예가 가능한 것인지 궁금합니다. ,"인사혁신처에서 매 연도마다 선발하는 공개경쟁채용시험 합격인원은 정부기관의 인력수급계획에 따른 것으로,최종 합격자가 학업의 계속, 질병, 기타 부득이한 사유로 임용이 어려워 임용유예를 신청했다 하더라도정부 인력운용 사정(부처배치 받은 해당 기관)이 여의치 않을 경우에는 임용유예 신청이 받아들여지지 않을 수 있습니다."
28,"[채용후보자 등록서류 성명 불일치] 등록서류를 떼어보니, 주민등록상의 이름과 가족관계등록부(가족관계증명서 또는 기본증명서)의 이름이 서로 다릅니다. 이런 경우 어떻게 해야 하나요?","원서접수 후에 성명 또는 주민등록번호가 변경된 합격자는 시험통계/자료실 -> 증명/서식에서 ""응시원서 기재사항 정정신청서""를 작성한 후 스캔파일을 제출하시면, 합격자 명부에 반영해드립니다. * 마이페이지 > ""증빙서류 제출"" 메뉴 이용  * 성명 또는 주민등록번호 변경 여부는 담당자가 행정정보 공동이용(주민등록초본)으로 확인한 후     처리하고 있습니다. 담당자의 주민등록초본 열람을 원하지 않으시면, 서식 중 ""부동의""를 선택하시고     이 신청서와 주민등록초본을 등기우편으로 발송해주시기 바랍니다. (홈페이지 하단 주소 참조)"
29,[채용후보자 대리등록] 제가 해외에 체류 중인 관계로 채용후보자 등록기간 내에 등록이 어렵습니다. 저 대신 부모님이나 친구가 대리등록을 해도 되는지요?,"채용후보자 등록은 공무원으로 임용될 의사가 있음을 표시하는 절차로 정해진 등록기간 내에 채용후보자 등록을 마쳐야 합니다. 만약, 이 기간 내에 채용후보자 등록을 하지 않은 경우에는 임용될 의사가 없는 것으로 간주되어 합격의 효력이 상실됩니다. 만약 본인의 상황이 여의치 않을 경우에는 부모님 또는 친구가 대리하여 국가공무원채용시스템에 접속한 후 채용후보자 등록을 해야 합니다."
30,[합격증명서 대리인 발급] 군 복무 중이어서 온라인과 오프라인상에서 발급이 어려운 상태입니다. 부모님 등 대리인을 통해 방문 발급이 가능한가요?,대리인을 통한 합격증명서 발급도 가능합니다. 다만 대리인이 방문하신 경우에는 합격자 본인과 대리인의 신분증 및  본인과 대리인 간의 관계를 확인할 수 있는 증빙서류가 있어야 가능합니다.
31,[과거 응시이력 증빙서류] 제가 비자신청 때문에 지난 3년간 공무원 시험 응시 이력을 증빙할 수 있는 서류가 필요합니다. 지난 3년간 응시한 시험의 응시표를 따로 발급받을 수 없나요?,"인사혁신처에서 주관하는 공개경쟁채용시험의 응시표는 시험이 시행된 당해 연도에만 국가공무원채용시스테을 통해 발급받을 수 있습니다.따라서 당해 연도 이전의 시험 응시표는 발급이 어렵습니다. 다만, 귀하가 공무원 시험에서 각 단계별로 합격사실이 있다면 제1·2차시험 합격확인서를, 최종 합격한 사실이 있다면 합격증명서를 발급 받을 수 있습니다."
32,[합격증명서와 확인서 구분] 합격증명서와 합격확인서의 서식이 동일한 건가요? 아니면 전혀 다른 서식인가요?,"국가공무원 채용시험에서 사용하는 합격증명서는 제1·2·3차시험 등 소정의 채용절차를 모두 통과하여최종 합격한 수험생에 대해 최종 합격을 증명하는 서류이며, 합격확인서는 제1차 및 제2차 시험의 합격 사실을 확인해 주는 서류입니다. 위 서식의 사용 용도를 감안하여 필요로 하는 서류를 발급받으시기 바랍니다."
33,[합격증명·확인서 발급] 합격증명서가 필요해 발급받으려고 합니다. 어디에서 발급받을 수 있나요?,"온라인 발급 방법으로는 국가공무원채용시스템 메인화면의 「합격증명서 교부」를 클릭하시거나,직접 '정부24' 사이트에 접속하여 공인인증서로 로그인 후, ‘국가공무원 임용시험 합격증명서 교부’ 코너에서 무료로 합격증명서를 발급받을 수 있습니다. 또는, 신분증을 지참하시고 인사혁신처(세종특별자치시 소재) 공개채용과(7,9급) 또는 5급공채팀(5급, 외교관 후보자)에 직접 방문하시면 발급이 가능합니다."
34,"[예비합격자 추가적인 면접 응시여부] 최종 합격자가 임용을 포기해서 추가로 합격자를 선발할 때, 또 다시 면접시험에 응시해야 하나요?","면접시험에서 “보통” 이상의 평정을 받은 응시자 중에서 선발예정인원만큼 최종 합격자가 결정되고,필기시험 성적 순위에 따라 합격자 명단에 포함되지 못한 응시자는 예비합격자 풀(면접시험에서 ‘미흡’ 평정을 받은 자는 제외)에 포함됩니다. 이후에 채용후보자 미등록 또는 임용 포기자(「국립외교원법」제6조제1항에 따른 교육과정 입교포기자) 발생 시,최종 합격자 발표일로부터 6개월 이내에 예비합격자 풀에 있는 수험생 중 일부 인원을 추가 선발할 수 있습니다.이 경우 별도의 면접시험을 거치지 않습니다. 왜냐하면 예비합격자는 선발예정인원 범위 안에서 필기시험 성적에 따라 합격하지 못한 것이지 공직자로서 갖추어야 할 능력과 자질은이미 기존 면접시험을 통해 충분히 검증되었기 때문입니다."
35,[필기 추가합격 미실시 모집단위] 제가 응시한 9급 ○○모집의 최종 합격인원을 보니 1명 미달이던데요. 다른 모집은 다 하는데 왜 ○○모집만 필기시험 추가 합격이 없는 것인지요?,면접시험 응시인원이 선발예정인원에 미달한 경우에 한해 공무원임용시험령 제25조제7항에 의하여그 미달인원의 1.5배수 범위 안에서 필기시험 추가 합격자를 결정하고 별도의 면접시험을 실시합니다. 귀하가 응시하신 ○○모집단위는 면접시험 응시인원이 선발예정인원과 같았으나응시자 중 1명이 면접시험 위원으로부터 ‘미흡’ 등급을 받아 불합격 처리된 경우입니다. 따라서 필기시험 추가 합격자 결정 요건에 해당되지 않습니다.
36,"[추가합격자 면접 불이익] 9급 면접시험에서 추가합격자 결정에 따라 당초 필기시험 합격자와 추가 합격자가 동시에 면접을 보는 경우, 추가 합격자가 따로 불이익을 받을 가능성이 있나요?","당초 필기시험 합격자와 필기시험 추가 합격자(공무원임용시험령 제25조제6항, 면접 응시 포기자 발생에 따른 추가 합격자만 해당)를별도로 구분하여 면접을 진행하지 않으며, 모두 동등한 조건하에 동일한 면접방식으로 시험이 진행됩니다. 그리고 면접시험의 결과(우수, 보통, 미흡 중 하나의 등급 부여)와 필기시험 성적을 토대로 최종 합격자가 결정되므로추가합격자라는 이유로 면접시험 단계에서 불이익을 받을 가능성은 없습니다. 참고로, 면접시험 위원에게 어떤 수험생이 추가 합격자인지를 알리는 자료를 제공하지 않습니다."
37,"[임용포기자 발생시, 추가합격자 결정시점] 9급 최종 합격자가 임용을 포기하는 경우 추가합격자를 결정하는데, 그 시점이 궁금합니다.",9급공채 최종합격자가 임용을 포기하는 등의 사정으로 결원을 보충할 필요가 있는 경우에최종합격자 발표일로부터 6개월 이내에 추가 합격자를 결정할 수 있습니다. 추가합격자 발표일은 부처 배치 이후의 각 부처의 추가합격 필요성 등을 종합적으로 고려하여매년 9급 공채 최종합격자 발표일에 공고될 예정이니 참고하시기 바랍니다.
38,"[면접시험 복장] 면접시험 응시요령(공고문)에서 복장과 관련하여 단정한 평상복 옷차림을 권장하고 있는데, 격식을 차린 정장과 비교하여 실제로 불이익이 발생할 가능성은 없는 건가요?","수험생들의 면접을 위한 정장구입, 미용·화장 등의 비용부담을 줄이고 좀 더 편안한 상황에서 면접시험에 임할 수 있도록“단정한 평상복” 옷차림을 권장하고 있습니다. 따라서 과도하게 격식을 차린 옷차림이 아니더라도 본인의 역량을 편하게 발휘할 수 있는 단정한 옷차림이라면 문제되지 않으며,실제 면접 시 옷차림으로 인한 불이익은 없습니다. 참고로 수험생에게 단정한 평상복 옷차림을 권장하고 있음을 면접위원 교육 시 안내하고 있습니다."
39,[공채 면접시험 운영방식] 공채시험별 면접시험 운영방식이 다르나요? 이러한 정보는 어디에서 확인할 수 있나요?," 면접시험 운영방식은 연도별로, 시험별로 달라질 수 있으므로 필기시험 합격자 발표일(5급 ㆍ7급 공채 및 외교관후보자 선발시험은 제2차시험 합격자 발표일)에 안내하는 「면접시험 일시 및 장소 공고문」 및 「면접시험 응시요령」 등을 반드시 확인 하시기 바랍니다. "
40,[개인발표내용 작성방법] “개인발표내용 작성용지”를 작성할 때 별도의 지정된 형식이 있습니까? 그리고 작성내용도 평가의 대상이 되는지요?,"발표내용을 작성할 때 별도로 지정된 형식은 없습니다. 응시자 본인이 면접위원 앞에서 발표하는데 활용하는 자료이므로 자유롭게 작성하시면 됩니다. 즉, 발표하고자 하는 내용의 핵심단어를 나열하거나, 개조식 또는 서술식으로 작성하셔도 되며, 필요할 경우에는 적절한 도형이나 그림을 활용해도 좋습니다. 발표시에는 작성한 용지의 원본을 가지고 발표하며 사본은 면접시험 위원에게 제공됩니다. 응시자가 작성한 개인발표 서면내용은 평가대상이 아닙니다."
41,"[면접시험에서의 봉사활동 경험] 개별면접과제에 봉사활동 경험 등을 쓰는 것이 있던데요, 봉사활동 유무가 면접시험 결과에 많은 영향을 줍니까?","면접시험 전에 응시자는 개별면접과제를 작성하게 됩니다. 개별면접과제 중 수험생이 본인의 과거 경험 중 나름대로 의미 있는 행동을 했던 사례를 기록하는 항목의 경우 작성내용을 면접위원이 질문 소재로 활용합니다. 참고로 예시를 들면, “본인의 과거 경험 중 여러 사람의 다양한 의견을 합리적으로 조정하여 통일된 의견을 도출한 경험이 있으면 작성하시오.” 등과 같은 것입니다. 이러한 과거 경험사례를 작성하는 과정에서 자신의 봉사활동 경험을 포함시킬 것인지 여부는 전적으로 수험생이 판단해야 할 문제이며, 개별면접과제에 포함되어 있는 봉사활동 유무 그 자체를 평가하는 것이 아니라 면접시험 위원과의 질의 응답과정에서 귀하의 답변내용 및 태도 등을 종합적으로 평가합니다."
42,"[당초의 선발예정인원 미충족] 9급 행정직 장애인 모집의 선발예정인원이 10명이고, 면접 응시인원도 10명이던데, 제가 왜 탈락했는지 이해가 되지 않습니다.","공무원임용시험령 제25조의 면접시험 합격자 결정기준에 따라 면접위원이 특정 수험생에 대하여 공직적합성 및 직무역량 등의 부족을 이유로 불합격에 해당하는 평정(‘미흡’ 등급을 부여)을 한 경우에는 설사 해당 모집단위의 합격예정인원이 선발예정인원에 미달한다 하더라도 불합격 처분을 하게 됩니다. 그 이유는 공무원 채용제도의 목적이 단순히 필요인력을 충원하는데 있는 것이 아니라, 공직자로서 필요한 전문지식과 자질을 충분히 갖춘 우수 인재를 충원하는데 있기 때문입니다."
