question_id,question,question_type,evaluation_intent,target_answer_no,target_answer,supporting_answer_nos,groundedness,correctness,completeness,hallucination,overall,notes
q020,기한 지난 여권밖에 없는데 이걸로도 시험장 입실이 되나요?,일상표현,만료 여권의 신분증 인정 여부 안내,78,기한이 만료된 여권은 신분증으로 인정되지 않습니다. 가능하면 다른 신분증이나 주민등록증 발급신청 확인서를 준비하는 것이 좋습니다.,77,,,,,,
q021,유효한 신분증이 없으면 시험 자체를 못 보나요 아니면 다른 절차로 볼 수 있나요?,복합질문,신분증 미지참 시 응시 가능 여부와 대체 절차 안내,78,유효한 신분증이 없더라도 부득이한 경우 응시는 가능할 수 있지만 시험시간 중 좌우무인 날인 등 본인확인 절차를 거쳐야 합니다.,77,,,,,,
q022,필기시험 보다가 배탈 나면 중간에 나갈 수 있나요?,일상표현,시험 중 퇴실 가능 여부와 조건 안내,79,시험시간 중에는 원칙적으로 퇴실할 수 없지만 배탈 등으로 화장실 이용이 불가피한 경우에는 예외적으로 퇴실이 인정됩니다.,,,,,,,
q023,화장실 때문에 잠깐 나가면 다시 들어와서 계속 볼 수 있나요?,복합질문,재입실 가능 여부와 퇴실 후 조치 안내,79,화장실 이용을 위한 퇴실은 가능할 수 있지만 재입실은 허용되지 않습니다. 퇴실 후에는 시험 종료 시까지 시험시행본부에서 대기해야 하며 퇴실 전까지 작성한 답안은 유효합니다.,,,,,,,
q024,7급 감사직 회계학이랑 세무직 회계학 문제는 서로 다른가요?,일상표현,동일 과목 시험문제 동일 여부 안내,226,동일 직급이고 같은 날 시행되는 시험에서 과목명이 같은 과목은 시험문제가 같습니다. 따라서 감사직 회계학과 세무직 회계학 문제는 동일합니다.,,,,,,,
q025,직렬별 시험과목은 어디에서 확인할 수 있나요?,원문유사,채용분야별 시험과목 확인 경로 안내,227,국가직 공무원 채용시험 과목은 공무원임용시험령 별표 1과 국가법령정보센터에서 확인할 수 있고 인사혁신처가 주관하는 공개경쟁채용시험 과목은 매년 1월 초 시험계획 공고문에서도 확인할 수 있습니다.,,,,,,,
q026,국공립대나 교육기관 행정직으로 가려면 어떤 시험을 준비해야 하나요?,일상표현,교육행정직 지원 경로 안내,228,국공립 대학이나 교육기관에서 행정직 공무원으로 일하려면 교육행정직렬을 선발하는 시험에 응시해야 합니다. 국가직은 인사혁신처의 공개경쟁채용시험으로 선발하고 지방직은 시도교육청이 선발합니다.,,,,,,,
q027,9급 사회복지직은 왜 국가직 공채 계획에 안 보이나요?,일상표현,국가직 9급 사회복지직 미선발 이유 안내,229,국가공무원 9급 공개경쟁채용시험에서는 사회복지직렬을 선발하지 않습니다. 중앙부처의 9급 사회복지 인력 수요가 거의 없고 현장업무는 주로 지방자치단체가 담당하기 때문입니다.,,,,,,,
q028,9급 국제통상직은 왜 선발을 안 하나요?,일상표현,9급 국제통상 직류 미선발 이유 설명,230,9급 공개경쟁채용시험에서는 국제통상 재경 법무행정직류 등을 선발하지 않습니다. 대부분의 9급 행정직 수요가 일반행정에 집중되고 기타 직류는 일부 부처가 자체 충원하기 때문입니다.,,,,,,,
q029,공채 선발인원은 보통 언제쯤 확정돼서 공고되나요?,원문유사,선발예정 직렬 및 인원 공고 시점 안내,231,공개경쟁채용시험의 선발예정 직렬과 인원은 하반기 부처별 수요조사를 거쳐 연말에 충원계획이 확정되고 다음 해 1월 시험계획 공고문을 통해 확인할 수 있습니다.,,,,,,,
q030,인사혁신처가 시행하는 시험 정보는 어디서 한 번에 볼 수 있나요?,일상표현,인사혁신처 주관 시험정보 확인 경로 안내,232,국가공무원채용시스템에서 인사혁신처가 실시하는 시험계획 제도 통계 공지사항 등을 확인할 수 있습니다.,,,,,,,
q031,국가직뿐 아니라 다른 기관 채용시험 정보도 한 번에 모아보는 사이트가 있나요?,일상표현,통합 채용정보 확인 경로 안내,233,나라일터 홈페이지의 채용정보 메뉴에서 국가기관과 지방자치단체 등의 공개경쟁채용시험 및 경력경쟁채용시험 정보를 함께 확인할 수 있습니다.,232,,,,,,
q032,지방직 공무원 시험은 인사혁신처에 문의하면 되나요?,조건형,지방공무원 시험 문의처 구분 안내,234,지방공무원 채용시험은 해당 시도청이나 지방교육청에 직접 문의해야 정확한 정보를 얻을 수 있습니다. 관련 정보는 자치단체통합인터넷원서접수센터에서도 확인할 수 있습니다.,233,,,,,,
q033,고졸자만 따로 볼 수 있는 공무원 시험이 있나요?,일상표현,고졸 대상 시험 존재 여부와 예외 제도 안내,240,일반적으로 고등학교 졸업만을 응시요건으로 하거나 고졸자에게 별도 가산점을 주는 공무원 시험은 없습니다. 다만 지역인재 9급 수습직원 선발시험처럼 고등학교 졸업예정자 등을 대상으로 하는 예외 제도가 있습니다.,,,,,,,
q034,부처별 9급 경력경쟁채용도 공채랑 같은 과목으로 준비하면 되나요?,조건형,경채와 공채 시험과목 차이 안내,241,경력경쟁채용시험 과목은 공개경쟁채용시험과 다르게 규정될 수 있고 시험실시기관장이 일부 변경해 시행할 수도 있으므로 해당 기관의 공고문을 반드시 확인해야 합니다.,,,,,,,
q035,중증장애인만 지원할 수 있는 별도 시험도 있나요?,일상표현,중증장애인 대상 경력경쟁채용 안내,242,인사혁신처는 장애인 구분모집 외에도 중증장애인만 응시할 수 있는 경력경쟁채용시험을 별도로 실시하고 있습니다. 다만 관련 학위나 자격증 등 요건을 갖춰야 합니다.,,,,,,,
q036,경력경쟁채용시험의 절차나 합격 기준은 어디 법이나 사이트에서 확인하나요?,원문유사,경채 시험 기준 확인 경로 안내,243,경력경쟁채용시험의 응시자격과 시험절차 및 합격기준은 국가공무원법과 공무원임용령 및 공무원임용시험령에서 확인할 수 있고 구체적인 시험정보는 나라일터에서 확인할 수 있습니다.,,,,,,,
q037,9급 공채도 특정 자격증이 필요하거나 거주지 제한이 걸리는 경우가 있나요?,복합질문,응시에 필요한 자격증과 지역 제한 예외 안내,244,일부 직렬은 필수 자격증이 필요할 수 있고 9급 공개경쟁채용시험에서는 지역별 구분모집을 별도로 시행하므로 일정한 주민등록 요건을 충족해야 하는 경우가 있습니다.,10,,,,,,
q038,5급 공채에서 영어 과목을 대신하는 시험은 어떤 걸 인정해주나요?,원문유사,영어 대체 시험 종류와 인정 범위 안내,247,5급 공개경쟁채용시험과 외교관후보자 선발시험의 영어 과목은 공고문에서 정한 영어능력검정시험 성적으로 대체합니다. 인정 여부는 기준점수와 취득 시기 및 정규시험 여부를 충족해야 합니다.,289,,,,,,
q039,기초생활수급자면 응시수수료를 안 내도 되나요?,일상표현,저소득층 응시수수료 면제 여부 안내,248,원서접수 당시 국민기초생활보장법상 수급자나 차상위계층 또는 한부모가족지원법상 지원대상자라면 응시수수료 납부가 면제됩니다.,,,,,,,
q040,원서 접수를 취소하면 환불은 바로 되나요? 중복결제면 얼마나 걸리나요?,복합질문,응시수수료 환불 시점과 중복결제 예외 안내,249,원서접수 취소 시에는 즉시 결제취소 또는 환불됩니다. 다만 시스템 오류로 중복결제가 된 경우에는 취소기간 종료 후 정산절차를 거쳐 승인취소 또는 환불되며 보통 1주 정도 걸립니다.,,,,,,,
q041,친구랑 같이 접수하면 응시번호가 붙어서 나오나요?,일상표현,응시번호 무작위 부여 원리 안내,250,응시번호는 원서접수 취소기간 종료 후 출원인원이 확정된 뒤 무작위로 부여되므로 친구와 연달아 접수해도 연속 번호를 받을 가능성은 없습니다.,,,,,,,
q042,응시표는 시험 전에 언제든 다시 출력할 수 있나요?,일상표현,응시표 출력 기간과 재출력 가능 여부 안내,251,응시표는 시험장소 공고일부터 시험일이 속한 연도 말까지 언제든 출력할 수 있고 분실한 경우에도 다시 출력할 수 있습니다.,11,,,,,,
q043,답안 수정할 때 수정액이나 수정스티커를 써도 되나요?,일상표현,수정액 및 수정스티커 사용 가능 여부 안내,276,답안 수정은 수정테이프로만 해야 하며 수정액과 수정스티커는 사용할 수 없습니다.,277,,,,,,
q044,답안을 잘못 마킹했으면 새 답안지를 받아야 하나요?,일상표현,답안 수정 방법 안내,277,답안을 잘못 표기했을 경우 새 답안지로 교체할 수도 있고 수정테이프로 수정할 수도 있습니다.,276,,,,,,
q045,답안지를 점만 찍듯이 약하게 표시하면 OCR이 제대로 읽나요?,일상표현,잘못된 답안 표기 방식의 위험 안내,278,선택형 필기시험은 OCR 판독 결과로만 채점되므로 답안을 점만 찍듯이 잘못 표기하면 정상적으로 판독되지 않을 수 있고 그 불이익은 수험생이 감수해야 합니다.,279,,,,,,
q046,연필이나 빨간펜으로 예비마킹해두고 나중에 사인펜으로 다시 칠해도 되나요?,조건형,예비마킹 금지 사유 안내,279,연필 형광펜 적색펜 등으로 예비마킹을 하면 OCR이 모두 판독할 수 있어 더블마킹으로 무효 처리될 수 있으므로 반드시 컴퓨터용 흑색 사인펜만 사용해야 합니다.,278,,,,,,
q047,가산점 자격증은 원서 접수일까지 따야 인정되나요?,조건형,자격증 가산점 인정 시점과 등록기한 안내,280,자격증 가산점은 원서접수일 기준이 아니라 필기시험 전일까지 요건을 충족하면 인정되며 시험일을 포함한 3일 이내에 등록해야 합니다.,12,,,,,,
q048,장애인 편의지원은 언제 신청하고 어떤 경우에 진단서를 내야 하나요?,복합질문,장애인 편의지원 신청 절차와 진단서 필요 예외 안내,281,편의지원은 원서접수 기간이나 사전신청 기간에 신청하고 일부 시험시간 연장 등 특수한 경우에만 종합병원 의사진단서를 제출해야 합니다.,,,,,,,
q049,영어성적 사전등록은 언제 어디서 하나요?,원문유사,영어성적 사전등록 시기와 경로 안내,288,영어성적과 외국어성적은 국가공무원채용시스템 마이페이지의 영어외국어성적 사전등록 메뉴에서 등록할 수 있습니다. 매월 초 10일 동안 사전등록이 가능하며 일부 시험은 유효기간 내 상시등록도 가능합니다.,289,,,,,,
q050,영어능력검정시험 성적은 언제까지 취득한 것까지 인정되고 성적표는 따로 내야 하나요?,복합질문,영어성적 인정기준과 제출 방식 안내,289,영어능력검정시험 성적은 최종시험일 기준 5년 범위 안에서 공고문 기준점수와 발표 시점을 충족한 경우 인정됩니다. 원서접수 시 성적표를 따로 제출할 필요는 없지만 유효기간이 끝나기 전 사전등록이 필요할 수 있습니다.,288,,,,,,
